;website;date;region;type_activite;sous_type_activite;sous_sous_categorie;language;note;nb_note;note_cuisine;note_service;note_cadre;nb_note_resto
0;booking;2015-06;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;409.9000000000001;104;402.5499999999998;423.14999999999986;404.44999999999993;104
1;booking;2015-07;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;2689.2000000000053;680;2663.4000000000024;2812.799999999996;2687.1500000000033;680
2;booking;2015-08;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;4744.750000000008;1204;4765.049999999995;4998.849999999985;4815.70000000001;1204
3;booking;2015-09;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;3249.700000000009;812;3179.4999999999995;3361.449999999992;3228.3500000000095;812
4;booking;2015-10;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;2957.3500000000035;740;2922.400000000001;3080.000000000001;2949.0000000000036;740
5;booking;2015-11;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;2717.4500000000053;682;2691.6500000000005;2835.3499999999976;2699.1999999999994;682
6;booking;2015-12;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;2491.3500000000063;629;2475.8500000000026;2616.6499999999955;2484.0500000000006;629
7;booking;2016-01;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;2704.900000000003;676;2694.999999999999;2839.699999999998;2692.9500000000075;676
8;booking;2016-02;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;3366.6000000000076;843;3336.7999999999984;3528.4000000000033;3349.950000000009;843
9;booking;2016-03;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;4426.900000000011;1102;4345.299999999996;4603.449999999996;4356.750000000009;1102
10;booking;2016-04;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;4580.150000000008;1135;4457.500000000002;4716.449999999987;4489.000000000011;1135
11;booking;2016-05;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;5338.300000000006;1347;5274.450000000011;5578.799999999992;5302.700000000002;1347
12;booking;2016-06;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;4396.600000000011;1122;4363.199999999996;4640.649999999978;4418.7500000000055;1122
13;booking;2016-07;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;6142.450000000001;1575;6093.450000000007;6456.149999999988;6143.700000000007;1575
14;booking;2016-08;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;10029.649999999969;2581;10034.499999999984;10588.10000000004;10133.749999999898;2581
15;booking;2016-09;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;6473.549999999997;1675;6467.799999999994;6828.599999999987;6529.300000000002;1675
16;booking;2016-10;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;8061.949999999976;2094;8056.499999999992;8523.599999999979;8127.400000000022;2094
17;booking;2016-11;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;6578.599999999998;1687;6577.200000000012;6946.099999999992;6590.000000000005;1687
18;booking;2016-12;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;7618.999999999983;1941;7587.90000000002;7996.44999999999;7575.800000000024;1941
19;booking;2017-01;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;8132.699999999985;2086;8126.80000000003;8552.949999999955;8125.600000000014;2086
20;booking;2017-02;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;9045.999999999956;2289;8929.649999999996;9398.05;8909.650000000018;2289
21;booking;2017-03;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;9149.849999999953;2332;9073.39999999998;9574.600000000002;9092.29999999998;2332
22;booking;2017-04;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;12250.399999999892;3111;12075.699999999926;12722.600000000011;12081.699999999966;3111
23;booking;2017-05;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;12640.049999999886;3214;12459.449999999944;13137.450000000039;12490.949999999928;3214
24;booking;2017-06;auvergne-rhone-alpes;offre_de_services;hebergement;;fr;10035.59999999994;2564;9858.099999999964;10442.84999999998;9947.400000000029;2564
25;booking;2015-06;bourgogne-franche-comte;offre_de_services;hebergement;;fr;167.4500000000001;42;165.94999999999996;177.65000000000006;170.0;42
26;booking;2015-07;bourgogne-franche-comte;offre_de_services;hebergement;;fr;676.7499999999998;177;668.3000000000002;720.3999999999991;697.4500000000003;177
27;booking;2015-08;bourgogne-franche-comte;offre_de_services;hebergement;;fr;1090.2499999999986;281;1064.8500000000004;1152.7500000000002;1109.2000000000019;281
28;booking;2015-09;bourgogne-franche-comte;offre_de_services;hebergement;;fr;752.6999999999997;201;753.1000000000001;813.6499999999997;786.4500000000005;201
29;booking;2015-10;bourgogne-franche-comte;offre_de_services;hebergement;;fr;795.1999999999992;201;775.0499999999998;825.45;792.9499999999997;201
30;booking;2015-11;bourgogne-franche-comte;offre_de_services;hebergement;;fr;778.2499999999997;198;766.1499999999997;817.8000000000005;786.5500000000003;198
31;booking;2015-12;bourgogne-franche-comte;offre_de_services;hebergement;;fr;749.0999999999995;185;737.6499999999995;782.7500000000002;753.2500000000006;185
32;booking;2016-01;bourgogne-franche-comte;offre_de_services;hebergement;;fr;745.7499999999998;185;727.2000000000002;771.7500000000001;747.6500000000004;185
33;booking;2016-02;bourgogne-franche-comte;offre_de_services;hebergement;;fr;971.2499999999999;240;942.9999999999997;1005.4500000000005;969.9499999999997;240
34;booking;2016-03;bourgogne-franche-comte;offre_de_services;hebergement;;fr;1342.2499999999984;332;1281.05;1363.0499999999981;1319.1;332
35;booking;2016-04;bourgogne-franche-comte;offre_de_services;hebergement;;fr;1576.2499999999993;390;1543.7999999999977;1639.9999999999982;1587.2000000000016;390
36;booking;2016-05;bourgogne-franche-comte;offre_de_services;hebergement;;fr;2157.1500000000015;548;2107.0999999999985;2249.0499999999956;2171.050000000001;548
37;booking;2016-06;bourgogne-franche-comte;offre_de_services;hebergement;;fr;1863.800000000001;484;1840.7999999999963;1964.5499999999981;1898.7499999999984;484
38;booking;2016-07;bourgogne-franche-comte;offre_de_services;hebergement;;fr;2540.6500000000065;661;2488.349999999999;2664.1499999999955;2582.3000000000065;661
39;booking;2016-08;bourgogne-franche-comte;offre_de_services;hebergement;;fr;3455.4000000000083;895;3410.65;3645.3000000000056;3526.1499999999965;895
40;booking;2016-09;bourgogne-franche-comte;offre_de_services;hebergement;;fr;2641.5500000000047;687;2592.899999999998;2789.4;2708.100000000004;687
41;booking;2016-10;bourgogne-franche-comte;offre_de_services;hebergement;;fr;2628.7000000000066;687;2582.399999999997;2773.5000000000005;2701.5000000000073;687
42;booking;2016-11;bourgogne-franche-comte;offre_de_services;hebergement;;fr;2423.800000000003;607;2340.1000000000017;2505.6999999999953;2411.5000000000027;607
43;booking;2016-12;bourgogne-franche-comte;offre_de_services;hebergement;;fr;2447.5000000000023;633;2407.7999999999965;2568.2000000000003;2499.1500000000033;633
44;booking;2017-01;bourgogne-franche-comte;offre_de_services;hebergement;;fr;2448.000000000003;606;2363.550000000002;2511.8499999999985;2417.050000000005;606
45;booking;2017-02;bourgogne-franche-comte;offre_de_services;hebergement;;fr;2310.5000000000027;580;2236.2000000000035;2380.7499999999995;2303.900000000005;580
