;website;date;region;type_activite;sous_type_activite;sous_sous_categorie;language;note;nb_note;note_cuisine;note_service;note_cadre;nb_note_resto
48;la fourchette;2013-01;auvergne-rhone-alpes;offre_de_services;restauration;;fr;573.0;131;577.0;592.0;546.0;131
49;la fourchette;2013-02;auvergne-rhone-alpes;offre_de_services;restauration;;fr;735.5;165;740.0;762.0;700.0;165
50;la fourchette;2013-03;auvergne-rhone-alpes;offre_de_services;restauration;;fr;387.5;86;393.0;398.0;366.0;86
51;la fourchette;2013-04;auvergne-rhone-alpes;offre_de_services;restauration;;fr;415.0;94;419.0;431.0;391.0;94
52;la fourchette;2013-05;auvergne-rhone-alpes;offre_de_services;restauration;;fr;616.75;139;620.0;637.0;590.0;139
53;la fourchette;2013-06;auvergne-rhone-alpes;offre_de_services;restauration;;fr;736.0;163;744.0;754.0;702.0;163
54;la fourchette;2013-07;auvergne-rhone-alpes;offre_de_services;restauration;;fr;973.75;222;975.0;1015.0;930.0;222
55;la fourchette;2013-08;auvergne-rhone-alpes;offre_de_services;restauration;;fr;985.75;224;998.0;986.0;961.0;224
56;la fourchette;2013-09;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1023.0;233;1023.0;1073.0;973.0;233
57;la fourchette;2013-10;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1078.5;250;1088.0;1113.0;1025.0;250
58;la fourchette;2013-11;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1117.75;253;1121.0;1151.0;1078.0;253
59;la fourchette;2013-12;auvergne-rhone-alpes;offre_de_services;restauration;;fr;821.5;186;827.0;852.0;780.0;186
60;la fourchette;2014-01;auvergne-rhone-alpes;offre_de_services;restauration;;fr;941.5;211;952.0;965.0;897.0;211
61;la fourchette;2014-02;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1076.25;248;1091.0;1086.0;1037.0;248
62;la fourchette;2014-03;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1003.5;231;1013.0;1040.0;948.0;231
63;la fourchette;2014-04;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1125.5;252;1137.0;1141.0;1087.0;252
64;la fourchette;2014-05;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1188.75;270;1188.0;1225.0;1154.0;270
65;la fourchette;2014-06;auvergne-rhone-alpes;offre_de_services;restauration;;fr;904.25;204;905.0;926.0;881.0;204
66;la fourchette;2014-07;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1213.75;274;1225.0;1235.0;1170.0;274
67;la fourchette;2014-08;auvergne-rhone-alpes;offre_de_services;restauration;;fr;996.25;227;997.0;1029.0;962.0;227
68;la fourchette;2014-09;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1199.5;270;1209.0;1241.0;1139.0;270
69;la fourchette;2014-10;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1533.5;352;1554.0;1567.0;1459.0;352
70;la fourchette;2014-11;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1368.0;312;1390.0;1388.0;1304.0;312
71;la fourchette;2014-12;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1143.0;258;1158.0;1161.0;1095.0;258
72;la fourchette;2015-01;auvergne-rhone-alpes;offre_de_services;restauration;;fr;852.5;200;858.0;870.0;824.0;200
73;la fourchette;2015-02;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1355.75;315;1389.0;1362.0;1283.0;315
74;la fourchette;2015-03;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1211.25;278;1222.0;1226.0;1175.0;278
75;la fourchette;2015-04;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1155.0;263;1156.0;1188.0;1120.0;263
76;la fourchette;2015-05;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1853.5;416;1869.0;1895.0;1781.0;416
77;la fourchette;2015-06;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1223.75;277;1233.0;1240.0;1189.0;277
78;la fourchette;2015-07;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1282.75;290;1282.0;1324.0;1243.0;290
79;la fourchette;2015-08;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1285.5;298;1286.0;1325.0;1245.0;298
80;la fourchette;2015-09;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1377.0;315;1376.0;1422.0;1334.0;315
81;la fourchette;2015-10;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1950.5;438;1969.0;1987.0;1877.0;438
82;la fourchette;2015-11;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1764.25;401;1768.0;1815.0;1706.0;401
83;la fourchette;2015-12;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1723.75;392;1751.0;1750.0;1643.0;392
84;la fourchette;2016-01;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1733.5;392;1747.0;1778.0;1662.0;392
85;la fourchette;2016-02;auvergne-rhone-alpes;offre_de_services;restauration;;fr;2229.75;507;2229.0;2291.0;2170.0;507
86;la fourchette;2016-03;auvergne-rhone-alpes;offre_de_services;restauration;;fr;2036.75;458;2036.0;2116.0;1959.0;458
87;la fourchette;2016-04;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1892.75;424;1902.0;1944.0;1823.0;424
88;la fourchette;2016-05;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1842.75;412;1859.0;1865.0;1788.0;412
89;la fourchette;2016-06;auvergne-rhone-alpes;offre_de_services;restauration;;fr;1971.0;435;1974.0;2031.0;1905.0;435
90;la fourchette;2016-07;auvergne-rhone-alpes;offre_de_services;restauration;;fr;2181.5;487;2187.0;2256.0;2096.0;487
91;la fourchette;2016-08;auvergne-rhone-alpes;offre_de_services;restauration;;fr;2205.5;495;2215.0;2238.0;2154.0;495
92;la fourchette;2016-09;auvergne-rhone-alpes;offre_de_services;restauration;;fr;2524.5;555;2530.0;2600.0;2438.0;555
93;la fourchette;2016-10;auvergne-rhone-alpes;offre_de_services;restauration;;fr;3055.75;684;3067.0;3157.0;2932.0;684
