;website;date;region;type_activite;sous_type_activite;sous_sous_categorie;language;note;nb_note;note_cuisine;note_service;note_cadre;nb_note_resto
20;tripadvisor;2013-01;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;22.0;5;;;;0
21;tripadvisor;2013-02;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;81.0;18;;;;0
22;tripadvisor;2013-03;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;57.0;13;;;;0
23;tripadvisor;2013-04;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;119.5;26;;;;0
24;tripadvisor;2013-05;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;71.5;16;;;;0
25;tripadvisor;2013-06;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;76.0;17;;;;0
26;tripadvisor;2013-07;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;65.0;15;;;;0
27;tripadvisor;2013-08;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;271.5;61;;;;0
28;tripadvisor;2013-09;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;137.5;32;;;;0
29;tripadvisor;2013-10;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;97.0;22;;;;0
30;tripadvisor;2013-11;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;80.5;18;;;;0
31;tripadvisor;2013-12;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;216.5;46;;;;0
32;tripadvisor;2014-01;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;225.0;49;;;;0
33;tripadvisor;2014-02;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;170.0;37;;;;0
34;tripadvisor;2014-03;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;203.0;45;;;;0
35;tripadvisor;2014-04;auvergne-rhone-alpes;offre_de_loisirs;jeux et divertissements;;fr;225.0;48;;;;0
