;website;date;region;type_activite;sous_type_activite;sous_sous_categorie;language;note;nb_note;note_cuisine;note_service;note_cadre;nb_note_resto
44;tripadvisor;2013-01;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;879.5;196;;;;0
45;tripadvisor;2013-02;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;931.5;208;;;;0
46;tripadvisor;2013-03;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;953.0;215;;;;0
47;tripadvisor;2013-04;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1307.0;294;;;;0
48;tripadvisor;2013-05;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1532.0;342;;;;0
49;tripadvisor;2013-06;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;990.0;222;;;;0
50;tripadvisor;2013-07;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;2230.5;500;;;;0
51;tripadvisor;2013-08;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;3014.0;676;;;;0
52;tripadvisor;2013-09;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1527.5;343;;;;0
53;tripadvisor;2013-10;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1347.0;300;;;;0
54;tripadvisor;2013-11;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;866.0;194;;;;0
55;tripadvisor;2013-12;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1285.5;287;;;;0
56;tripadvisor;2014-01;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1105.5;246;;;;0
57;tripadvisor;2014-02;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;757.0;169;;;;0
58;tripadvisor;2014-03;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;899.0;202;;;;0
59;tripadvisor;2014-04;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1781.5;398;;;;0
60;tripadvisor;2014-05;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;2494.5;559;;;;0
61;tripadvisor;2014-06;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1779.5;400;;;;0
62;tripadvisor;2014-07;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;3146.5;707;;;;0
63;tripadvisor;2014-08;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;6943.5;1559;;;;0
64;tripadvisor;2014-09;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;3479.0;777;;;;0
65;tripadvisor;2014-10;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;2687.5;601;;;;0
66;tripadvisor;2014-11;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;2448.5;549;;;;0
67;tripadvisor;2014-12;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;2378.5;530;;;;0
68;tripadvisor;2015-01;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;1987.5;447;;;;0
69;tripadvisor;2015-02;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;2881.0;643;;;;0
70;tripadvisor;2015-03;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;2984.5;667;;;;0
71;tripadvisor;2015-04;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;3604.5;808;;;;0
72;tripadvisor;2015-05;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;6241.5;1399;;;;0
73;tripadvisor;2015-06;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;4942.5;1104;;;;0
74;tripadvisor;2015-07;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;10544.0;2366;;;;0
75;tripadvisor;2015-08;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;15999.0;3575;;;;0
76;tripadvisor;2015-09;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;9745.5;2177;;;;0
77;tripadvisor;2015-10;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;6595.0;1475;;;;0
78;tripadvisor;2015-11;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;4454.0;996;;;;0
79;tripadvisor;2015-12;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;4955.0;1105;;;;0
80;tripadvisor;2016-01;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;4592.0;1024;;;;0
81;tripadvisor;2016-02;auvergne-rhone-alpes;patrimoine;patrimoine culturel;;fr;6465.0;1444;;;;0
