;website;date;region;type_activite;sous_type_activite;sous_sous_categorie;language;note;nb_note;note_cuisine;note_service;note_cadre;nb_note_resto
33;tripadvisor;2013-01;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;620.0;147;;;;0
34;tripadvisor;2013-02;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;626.0;147;;;;0
35;tripadvisor;2013-03;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;804.0;192;;;;0
36;tripadvisor;2013-04;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;751.0;178;;;;0
37;tripadvisor;2013-05;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;825.0;197;;;;0
38;tripadvisor;2013-06;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;621.0;148;;;;0
39;tripadvisor;2013-07;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1503.0;358;;;;0
40;tripadvisor;2013-08;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;2079.0;491;;;;0
41;tripadvisor;2013-09;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;849.0;201;;;;0
42;tripadvisor;2013-10;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;638.0;152;;;;0
43;tripadvisor;2013-11;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;394.0;95;;;;0
44;tripadvisor;2013-12;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;598.0;144;;;;0
45;tripadvisor;2014-01;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;703.0;166;;;;0
46;tripadvisor;2014-02;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;554.0;131;;;;0
47;tripadvisor;2014-03;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;801.0;190;;;;0
48;tripadvisor;2014-04;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1094.0;262;;;;0
49;tripadvisor;2014-05;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1423.0;344;;;;0
50;tripadvisor;2014-06;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1066.0;254;;;;0
51;tripadvisor;2014-07;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1923.0;459;;;;0
52;tripadvisor;2014-08;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;4044.0;958;;;;0
53;tripadvisor;2014-09;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;2091.0;498;;;;0
54;tripadvisor;2014-10;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1268.0;302;;;;0
55;tripadvisor;2014-11;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1016.0;245;;;;0
56;tripadvisor;2014-12;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;874.0;207;;;;0
57;tripadvisor;2015-01;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1126.0;266;;;;0
58;tripadvisor;2015-02;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1820.0;431;;;;0
59;tripadvisor;2015-03;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;2101.0;498;;;;0
60;tripadvisor;2015-04;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1835.0;439;;;;0
61;tripadvisor;2015-05;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;2714.0;651;;;;0
62;tripadvisor;2015-06;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;2398.0;573;;;;0
63;tripadvisor;2015-07;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;5678.0;1354;;;;0
64;tripadvisor;2015-08;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;8924.0;2123;;;;0
65;tripadvisor;2015-09;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;4173.0;989;;;;0
66;tripadvisor;2015-10;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;2410.0;574;;;;0
67;tripadvisor;2015-11;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1817.0;436;;;;0
68;tripadvisor;2015-12;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;1870.0;445;;;;0
69;tripadvisor;2016-01;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;2423.0;573;;;;0
70;tripadvisor;2016-02;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;4283.0;1025;;;;0
71;tripadvisor;2016-03;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;4293.0;1027;;;;0
72;tripadvisor;2016-04;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;4102.0;990;;;;0
73;tripadvisor;2016-05;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;4341.0;1043;;;;0
74;tripadvisor;2016-06;auvergne-rhone-alpes;patrimoine;patrimoine naturel;;fr;3245.0;774;;;;0
