;website;date;region;type_activite;sous_type_activite;sous_sous_categorie;language;note;nb_note;note_cuisine;note_service;note_cadre;nb_note_resto
62;tripadvisor;2013-01;auvergne-rhone-alpes;offre_de_services;restauration;;fr;7472.0;1920;0;0;0;0
63;tripadvisor;2013-02;auvergne-rhone-alpes;offre_de_services;restauration;;fr;8353.0;2160;0;0;0;0
64;tripadvisor;2013-03;auvergne-rhone-alpes;offre_de_services;restauration;;fr;10152.0;2629;0;0;0;0
65;tripadvisor;2013-04;auvergne-rhone-alpes;offre_de_services;restauration;;fr;9260.0;2370;0;0;0;0
66;tripadvisor;2013-05;auvergne-rhone-alpes;offre_de_services;restauration;;fr;9825.0;2531;0;0;0;0
67;tripadvisor;2013-06;auvergne-rhone-alpes;offre_de_services;restauration;;fr;7940.0;2066;0;0;0;0
68;tripadvisor;2013-07;auvergne-rhone-alpes;offre_de_services;restauration;;fr;9105.0;2376;0;0;0;0
69;tripadvisor;2013-08;auvergne-rhone-alpes;offre_de_services;restauration;;fr;14745.0;3880;0;0;0;0
70;tripadvisor;2013-09;auvergne-rhone-alpes;offre_de_services;restauration;;fr;11099.0;2843;0;0;0;0
71;tripadvisor;2013-10;auvergne-rhone-alpes;offre_de_services;restauration;;fr;11315.0;2935;0;0;0;0
72;tripadvisor;2013-11;auvergne-rhone-alpes;offre_de_services;restauration;;fr;11560.0;3020;0;0;0;0
73;tripadvisor;2013-12;auvergne-rhone-alpes;offre_de_services;restauration;;fr;11658.0;3084;0;0;0;0
74;tripadvisor;2014-01;auvergne-rhone-alpes;offre_de_services;restauration;;fr;15407.0;3956;0;0;0;0
75;tripadvisor;2014-02;auvergne-rhone-alpes;offre_de_services;restauration;;fr;15049.0;3847;0;0;0;0
76;tripadvisor;2014-03;auvergne-rhone-alpes;offre_de_services;restauration;;fr;16987.0;4374;0;0;0;0
77;tripadvisor;2014-04;auvergne-rhone-alpes;offre_de_services;restauration;;fr;14447.0;3690;0;0;0;0
78;tripadvisor;2014-05;auvergne-rhone-alpes;offre_de_services;restauration;;fr;16266.0;4190;0;0;0;0
79;tripadvisor;2014-06;auvergne-rhone-alpes;offre_de_services;restauration;;fr;14303.0;3740;0;0;0;0
80;tripadvisor;2014-07;auvergne-rhone-alpes;offre_de_services;restauration;;fr;21332.0;5435;0;0;0;0
81;tripadvisor;2014-08;auvergne-rhone-alpes;offre_de_services;restauration;;fr;32264.0;8342;0;0;0;0
82;tripadvisor;2014-09;auvergne-rhone-alpes;offre_de_services;restauration;;fr;23014.0;5878;0;0;0;0
83;tripadvisor;2014-10;auvergne-rhone-alpes;offre_de_services;restauration;;fr;24026.0;6099;0;0;0;0
