;website;date;region;type_activite;sous_type_activite;sous_sous_categorie;language;note;nb_note;note_cuisine;note_service;note_cadre;nb_note_resto
17;tripadvisor;2013-01;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;26.5;6;;;;0
18;tripadvisor;2013-02;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;48.5;11;;;;0
19;tripadvisor;2013-03;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;61.0;14;;;;0
20;tripadvisor;2013-04;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;18.0;4;;;;0
21;tripadvisor;2013-05;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;36.5;8;;;;0
22;tripadvisor;2013-06;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;65.0;15;;;;0
23;tripadvisor;2013-07;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;93.0;21;;;;0
24;tripadvisor;2013-08;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;99.5;23;;;;0
25;tripadvisor;2013-09;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;64.0;15;;;;0
26;tripadvisor;2013-10;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;97.0;22;;;;0
27;tripadvisor;2013-11;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;80.5;18;;;;0
28;tripadvisor;2013-12;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;106.0;24;;;;0
29;tripadvisor;2014-01;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;70.0;16;;;;0
30;tripadvisor;2014-02;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;70.0;16;;;;0
31;tripadvisor;2014-03;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;84.0;19;;;;0
32;tripadvisor;2014-04;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;96.5;22;;;;0
33;tripadvisor;2014-05;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;107.0;25;;;;0
34;tripadvisor;2014-06;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;128.5;30;;;;0
35;tripadvisor;2014-07;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;144.0;33;;;;0
36;tripadvisor;2014-08;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;322.0;74;;;;0
37;tripadvisor;2014-09;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;197.5;44;;;;0
38;tripadvisor;2014-10;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;192.5;44;;;;0
39;tripadvisor;2014-11;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;214.5;48;;;;0
40;tripadvisor;2014-12;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;224.0;51;;;;0
41;tripadvisor;2015-01;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;275.0;63;;;;0
42;tripadvisor;2015-02;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;221.0;50;;;;0
43;tripadvisor;2015-03;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;313.5;70;;;;0
44;tripadvisor;2015-04;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;274.0;62;;;;0
45;tripadvisor;2015-05;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;415.0;95;;;;0
46;tripadvisor;2015-06;auvergne-rhone-alpes;offre_de_loisirs;shopping;;fr;349.0;76;;;;0
