;website;date;region;type_activite;sous_type_activite;sous_sous_categorie;language;note;nb_note;note_cuisine;note_service;note_cadre;nb_note_resto
15;tripadvisor;2013-01;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;12.5;3;;;;0
16;tripadvisor;2013-02;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;8.0;2;;;;0
17;tripadvisor;2013-03;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;17.5;4;;;;0
18;tripadvisor;2013-04;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;34.0;8;;;;0
19;tripadvisor;2013-05;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;25.5;6;;;;0
20;tripadvisor;2013-06;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;17.5;4;;;;0
21;tripadvisor;2013-07;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;59.0;13;;;;0
22;tripadvisor;2013-08;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;159.0;35;;;;0
23;tripadvisor;2013-09;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;98.5;22;;;;0
24;tripadvisor;2013-10;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;36.5;8;;;;0
25;tripadvisor;2013-11;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;10.0;2;;;;0
26;tripadvisor;2013-12;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;48.0;11;;;;0
27;tripadvisor;2014-01;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;57.5;12;;;;0
28;tripadvisor;2014-02;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;54.5;13;;;;0
29;tripadvisor;2014-03;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;75.0;17;;;;0
30;tripadvisor;2014-04;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;70.0;16;;;;0
31;tripadvisor;2014-05;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;48.0;11;;;;0
32;tripadvisor;2014-06;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;36.0;8;;;;0
33;tripadvisor;2014-07;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;57.5;13;;;;0
34;tripadvisor;2014-08;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;70.0;16;;;;0
35;tripadvisor;2014-09;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;85.5;20;;;;0
36;tripadvisor;2014-10;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;259.5;59;;;;0
37;tripadvisor;2014-11;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;83.5;19;;;;0
38;tripadvisor;2014-12;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;234.5;52;;;;0
39;tripadvisor;2015-01;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;277.0;62;;;;0
40;tripadvisor;2015-02;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;233.5;53;;;;0
41;tripadvisor;2015-03;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;225.0;51;;;;0
42;tripadvisor;2015-04;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;207.0;47;;;;0
43;tripadvisor;2015-05;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;216.5;48;;;;0
44;tripadvisor;2015-06;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;254.5;58;;;;0
45;tripadvisor;2015-07;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;367.0;85;;;;0
46;tripadvisor;2015-08;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;431.5;97;;;;0
47;tripadvisor;2015-09;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;288.5;65;;;;0
48;tripadvisor;2015-10;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;278.5;63;;;;0
49;tripadvisor;2015-11;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;192.5;43;;;;0
50;tripadvisor;2015-12;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;364.0;87;;;;0
51;tripadvisor;2016-01;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;498.5;116;;;;0
52;tripadvisor;2016-02;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;683.5;154;;;;0
53;tripadvisor;2016-03;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;415.5;96;;;;0
54;tripadvisor;2016-04;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;354.0;79;;;;0
55;tripadvisor;2016-05;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;361.5;81;;;;0
56;tripadvisor;2016-06;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;272.0;62;;;;0
57;tripadvisor;2016-07;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;374.0;86;;;;0
58;tripadvisor;2016-08;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;504.5;113;;;;0
59;tripadvisor;2016-09;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;405.5;94;;;;0
60;tripadvisor;2016-10;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;400.5;91;;;;0
61;tripadvisor;2016-11;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;299.5;68;;;;0
62;tripadvisor;2016-12;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;349.0;79;;;;0
63;tripadvisor;2017-01;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;623.5;139;;;;0
64;tripadvisor;2017-02;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;535.0;122;;;;0
65;tripadvisor;2017-03;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;452.0;102;;;;0
66;tripadvisor;2017-04;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;370.5;87;;;;0
67;tripadvisor;2017-05;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;267.0;63;;;;0
68;tripadvisor;2017-06;auvergne-rhone-alpes;offre_de_loisirs;vie nocturne;;fr;143.0;32;;;;0
71;tripadvisor;2013-06;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;9.0;2;;;;0
72;tripadvisor;2013-08;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;9.0;2;;;;0
73;tripadvisor;2013-09;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;9.5;2;;;;0
74;tripadvisor;2013-11;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;9.0;2;;;;0
75;tripadvisor;2013-12;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;5.0;1;;;;0
76;tripadvisor;2014-01;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;23.0;5;;;;0
77;tripadvisor;2014-03;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;18.0;4;;;;0
78;tripadvisor;2014-05;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;18.0;4;;;;0
79;tripadvisor;2014-06;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;5.0;1;;;;0
80;tripadvisor;2014-07;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;14.0;3;;;;0
81;tripadvisor;2014-08;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;9.0;2;;;;0
82;tripadvisor;2014-09;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;13.5;3;;;;0
83;tripadvisor;2014-10;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;4.5;1;;;;0
84;tripadvisor;2014-11;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;14.0;3;;;;0
85;tripadvisor;2014-12;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;18.0;4;;;;0
86;tripadvisor;2015-01;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;27.0;6;;;;0
87;tripadvisor;2015-02;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;27.0;6;;;;0
88;tripadvisor;2015-03;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;27.0;6;;;;0
89;tripadvisor;2015-04;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;31.0;7;;;;0
90;tripadvisor;2015-05;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;35.5;8;;;;0
91;tripadvisor;2015-06;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;31.5;7;;;;0
92;tripadvisor;2015-07;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;66.5;15;;;;0
93;tripadvisor;2015-08;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;71.5;16;;;;0
94;tripadvisor;2015-09;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;85.0;19;;;;0
95;tripadvisor;2015-10;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;63.0;14;;;;0
96;tripadvisor;2015-11;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;39.0;9;;;;0
97;tripadvisor;2015-12;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;40.0;9;;;;0
98;tripadvisor;2016-01;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;64.0;15;;;;0
99;tripadvisor;2016-02;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;85.0;18;;;;0
100;tripadvisor;2016-03;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;73.0;16;;;;0
101;tripadvisor;2016-04;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;45.5;10;;;;0
102;tripadvisor;2016-05;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;104.0;23;;;;0
103;tripadvisor;2016-06;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;47.5;11;;;;0
104;tripadvisor;2016-07;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;49.0;11;;;;0
105;tripadvisor;2016-08;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;59.0;13;;;;0
106;tripadvisor;2016-09;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;97.0;21;;;;0
107;tripadvisor;2016-10;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;64.0;14;;;;0
108;tripadvisor;2016-11;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;48.5;11;;;;0
109;tripadvisor;2016-12;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;67.5;15;;;;0
110;tripadvisor;2017-01;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;50.0;11;;;;0
111;tripadvisor;2017-02;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;53.0;13;;;;0
112;tripadvisor;2017-03;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;77.5;18;;;;0
113;tripadvisor;2017-04;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;99.0;22;;;;0
114;tripadvisor;2017-05;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;92.5;21;;;;0
115;tripadvisor;2017-06;bourgogne-franche-comte;offre_de_loisirs;vie nocturne;;fr;30.0;7;;;;0
122;tripadvisor;2013-01;bretagne;offre_de_loisirs;vie nocturne;;fr;4.5;1;;;;0
123;tripadvisor;2013-03;bretagne;offre_de_loisirs;vie nocturne;;fr;4.5;1;;;;0
124;tripadvisor;2013-04;bretagne;offre_de_loisirs;vie nocturne;;fr;4.0;1;;;;0
